,Run,Event,Cluster,Bizarrice,E1,px1,py1,pz1,pt1,sigma,Prob_1,pz1_pt1
8435,165617,160315319,0,4.028233390734678,-0.04761839752615893,-0.6961688893072577,-0.38300698240454134,-0.10235466540108075,0.6996565891503215,-1.6036913143024505,0.4030771317262354,-0.0926594209166316
17123,166784,65395674,0,4.022754133731642,-0.08269548442496738,-0.4127276343776379,0.597960802294903,-0.01396386071474329,0.6185721246231219,-1.7196816902221372,0.5597670601449058,0.01738547692922501
31759,160957,111596586,0,4.0146680774993495,0.024062321021246228,-0.6248303666607753,-0.13112084714475067,0.3844452330208485,0.2806674291701187,-1.7286081632878154,-0.16903473224072918,0.6718989849530659
6920,165617,150649862,0,4.010355677885944,-0.052353440326082204,-0.4260776332289667,0.4906435625426653,-0.19023762599418828,0.40350383562410974,-1.715326001557559,-0.47023806358223236,-0.26197551503014016
21253,163589,9532551,0,4.0044093994806,-0.08707446459639621,-0.3696831391474046,-0.5001287136352361,0.14588817152447192,0.4344588361644711,-1.6962900288753295,0.5201539059309386,0.2507321396063512
20952,163589,7977929,0,4.002315562643611,-0.06958805186331854,-0.3587981933888798,-0.45053350076099846,0.22576232271540927,0.3663307013009875,-1.6754795163667908,0.47057773011541604,0.3852455461318107
34756,160957,150016750,0,3.9985849456242732,0.03073701990788502,-0.6858020032056501,-0.214283139169934,-0.308360001040768,0.46810459277809985,-1.6355792572418915,0.234418052921986,-0.4213008793580583
8669,165617,162899672,0,3.9985747646647836,0.030609152113121842,-0.577971586044448,-0.14745114320891492,0.40268007752584367,0.20627593773272712,-1.7082278422523212,-0.1853587599417392,0.7400002658456675
23246,163589,19184539,0,3.996923394018347,-0.04418760623282028,-0.7302982040679042,-0.3209419356122109,-0.1250563768878045,0.6698547697842177,-1.6405264591819062,0.3410359085223415,-0.12502213372914167
10976,166701,698173838,0,3.9962257346273944,-0.0661061134520746,-0.26726673004915075,0.33158891421597525,0.3145442754054685,-0.2041435033250528,-1.6862880771270399,0.2934974185728384,0.832790702479794
11835,166784,15023371,0,3.9952861778188997,-0.08166270608264925,-0.5449523991200527,0.5322111788982029,0.01672288874851014,0.6330547234880609,-1.6163281888231398,-0.5117897242616606,0.058564368396623476
33592,160957,134954860,0,3.9894209051938505,-0.04536595714148417,-0.2857574747268121,-0.17364906915112155,0.35678825980741763,-0.2653299397474181,-1.6374075710023317,-0.21154662984374614,1.0135760037735186
15628,166784,50554839,0,3.981566574323983,-0.05519997415719521,-0.7435912732866048,0.33481799236619386,-0.10864544904104768,0.6390241319195114,-1.6965588985459827,0.2967252572455595,-0.10700359776188756
17425,166784,127797735,0,3.977202359451353,-0.06989493457075023,-0.6670835399974757,0.34541622372515157,0.17733560660822292,0.5187315074675589,-1.60546585412876,0.3073194204870324,0.2859552724664006
27070,163589,43259894,0,3.975595252234595,-0.06580709953201297,-0.6518605562326768,-0.25491720918874644,0.20894295855537395,0.45252534122783755,-1.7241987006891069,0.2750365256052504,0.3423068612035902
